Profession,Language,Translated Job Description,Translated Resume
Retail Salespersons,af,"Ddien as die primêre kontakpunt vir kliënte in 'n kleinhandelomgewing. Bied leiding oor produkte, hanteer handelsvertonings en verwerk verkooptransaksies. Spreek navrae en bekommernisse van kliënte aan, en verseker 'n positiewe inkopie- Handhaaf bewustheid van huidige promosies en winkelbeleid om akkurate inligting te verskaf.",Jane Smith: 5 jaar ervaring as hoofverkoopsgenoot by Prestige Retailers. Verkope het met 15% verhoog deur persoonlike kliëntebetrokkenheid. Meer as 20 nuwe personeellede opgelei en menteer. Erken vir die konsekwent die handhawing van topprester-status en die verskaffing van uitsonderlike kliëntediens
Retail Salespersons,sq,"Shërben si pika kryesore e kontaktit për klientët në një mjedis me pakicë. Ofroni udhëzime për produktet, trajtoni shfaqjet e mallrave dhe përpunoni transaksionet e shitjeve. Drejtoni pyetjet dhe shqetësimet e klientëve, duke siguruar një përvojë pozitive të blerjeve Mbani vetëdijen për promovimet aktuale dhe politikat e dyqaneve për të siguruar informacion të saktë.",Jane Smith: Përvojë 5 vjeçare si bashkëpunëtor kryesor i shitjeve në Shitësit me pakicë Prestige. Rritja e shitjeve me 15% përmes angazhimit të personalizuar të klientit. Ka trajnuar dhe mentoruar mbi 20 anëtarë të rinj të stafit. Njohur për ruajtjen e vazhdueshme të statusit të performuesit të lartë dhe ofrimin e shërbimit
Retail Salespersons,am,በችርቻሮ አከባቢ ውስጥ ለደንበኞች እንደ ዋና የግንኙነት ነጥብ ሆኖ ያገለግሉ። በምርቶች ላይ መመሪያ ያቅርቡ፣ የሸቀጥ ማሳያዎችን ይያዙ እና የሽያጭ ግብይቶ አዎንታዊ የግዢ ተሞክሮን በማረጋገጥ የደንበኛ ጥያቄዎችን እና ትክክለኛ መረጃ ለማቅረብ ወቅታዊ ማስተዋወቂያዎችን እና የመደብር ፖሊሲዎችን,ጄን ስሚት፡ በፕሪስቲጅ ቸርቻሪዎች ውስጥ መሪ የሽያጭ ተባባሪ ሆኖ የ5 ዓመት ግላዊነት የተላበሰ የደንበኞች ተሳትፎ ሽያጮችን በ 15% ከ 20 በላይ አዳዲስ ሰራተኞች የሰለጠኑ እና አስተማርተዋል። ከፍተኛ አፈፃፀም ሁኔታን በተከታታታይ በመጠበቅ እና ልዩ የደንበኛ አገልግሎት
Retail Salespersons,ar,تعمل كنقطة اتصال أساسية للعملاء في بيئة البيع بالتجزئة. تقديم إرشادات حول المنتجات والتعامل مع عروض البضائع ومعالجة معاملات المبيعات. معالجة استفسارات العملاء ومخاوفهم، مما يضمن تجربة تسوق إيجابية. حافظ على الوعي بالعروض الترويجية الحالية وسياسات المتجر لتوفير معلومات دقيقة.,جين سميث: 5 سنوات من الخبرة كمساعد مبيعات رئيسي في Prestige Retailers. عززت المبيعات بنسبة 15٪ من خلال مشاركة العملاء المخصصة. تم تدريب وتوجيه أكثر من 20 موظفًا جديدًا. معترف به للحفاظ باستمرار على وضع أفضل أداء وتقديم خدمة عملاء استثنائية.
Retail Salespersons,az,"Pərakəndə satış şəraitində müştərilər üçün əsas əlaqə nöqtəsi kimi xidmət edin. Məhsullara dair təlimat təklif edin, mal ekranlarını idarə edin və satış əməliyyatlarını emal edin. Müştəri sorğularını və narahatlıqlarını həll edərək müsbət alış-veriş təcrübə Dəqiq məlumat vermək üçün cari promosyonlar və mağaza siyasətləri haqqında məlumatlılığı qoruyun.",Jane Smith: Prestige Retailents şirkətində aparıcı satış əməkdaşı kimi 5 illik təcrübə. Fərdiləşdirilmiş müştəri əlaqəsi sayəsində satışları 15% artırdı. 20-dən çox yeni işçi təlim verdi və mentorluq etdi. Ardıcıl olaraq yüksək performans statusunu qorumaq və müstəsna müştəri xidməti göstərmək üçün tanınır.
Retail Salespersons,bn,"খুচরা সেটিংসে গ্রাহকদের জন্য যোগাযোগের প্রাথমিক পয়েন্ট হিসাবে কাজ করুন। পণ্যগুলির উপর নির্দেশিকা অফার করুন, পণ্যদ্রব্য প্রদর্শন পরিচালনা করুন এবং বিক্রয় লেন একটি ইতিবাচক কেনাকাটার অভিজ্ঞতা নিশ্চিত করে গ্রাহকের অনুসন্ধান এবং উদ্বেগগুলি সঠিক তথ্য সরবরাহ করতে বর্তমান প্রচার এবং স্টোর নীতি সম্পর্কে সচেতনতা বজায় রাখুন",জেন স্মিথ: প্রেস্টিজ রিটেইলারদের লিড সেলস অ্যাসোসিয়েট হিসাবে 5 বছরের অভিজ্ঞতা। ব্যক্তিগতকৃত গ্রাহক ব্যস্ততার মাধ্যমে 15% বিক্রয় বাড়িয়েছে। 20 টিরও বেশি নতুন কর্মীদের প্রশিক্ষিত এবং পরামর্শ দেওয়া হয়েছে। ধারাবাহিকভাবে শীর্ষ পারফর্মার স্ট্যাটাস বজায় রাখার এবং ব্যতিক্রমী
Retail Salespersons,bs,"Služe kao primarna tačka kontakta za kupce u maloprodajnom okruženju. Ponudite smjernice o proizvodima, rukujte prikaze robe i obrađujte prodajne transakcije. Odgovorite se na upite i nedoumice kupaca, osiguravajući pozitivno iskustvo kupovine. Održavajte svijest o trenutnim promocijama i pravilima trgovine kako biste pružili tačne informacije.",Jane Smith: 5 godina iskustva kao vodeći prodajni saradnik u Prestige Retailers. Povećana prodaja za 15% kroz personalizirani angažman kupaca. Obučeno i mentorirano preko 20 novih članova osoblja. Prepoznat po dosljednom održavanju statusa vrhunskih performansa i pružanju izuzetne korisničke usluge.
Retail Salespersons,bg,"Служат като основна точка за контакт за клиентите в обстановка на дребно. Предлагайте насоки за продукти, обработвайте дисплеи на стоки и обработвайте транзакции по продажби. Отговаряйте на запитвания и притеснения на клиентите, осигурявайки положително пазаруване. Поддържайте информираността за текущите промоции и политики на магазините, за да предоставите точна информация.",Джейн Смит: 5 години опит като водещ търговски сътрудник в търговците на дребно на Prestige. Увеличени продажбите с 15% чрез персонализирана ангажираност на клиентите. Обучени и наставнили над 20 нови служители. Признат за последователно поддържане на статут на най-добри резултати и предоставяне на изключително обслужване на клиентите.
Retail Salespersons,zh,在零售环境中充当客户的主要联系点。提供产品指导，处理商品陈列和处理销售交易。解决买家的询问和疑虑，确保良好的购物体验。保持对当前促销和商店政策的了解，以提供准确的信息。,Jane Smith：在知名零售商担任首席销售助理已有 5 年经验。通过个性化的客户互动，将销售额提高了15％。培训和指导了20多名新工作人员。因始终如一地保持最佳表现者地位和提供卓越的客户服务而受到认可。
Retail Salespersons,hr,"Služe kao primarna točka kontakta za kupce u maloprodajnom okruženju. Ponudite smjernice o proizvodima, rukujte prikaze robe i obradite prodajne transakcije. Riješite upite i nedoumice kupaca, osiguravajući pozitivno iskustvo kupovine. Održavajte svijest o trenutnim promocijama i pravilima trgovine kako biste pružili točne informacije.",Jane Smith: 5 godina iskustva kao vodeći prodajni suradnik u Prestige Retailers. Povećana prodaja za 15% kroz personalizirani angažman kupaca. Obučavao i mentoriran preko 20 novih članova osoblja. Prepoznat po dosljednom održavanju statusa vrhunskih performansi i pružanju iznimne korisničke usluge.
